sample_name,rnai
Rtf1_SRR3488075,Rtf1
E[var]3-9_SRR3488076,E[var]3-9
Kdm4A_SRR3488077,Kdm4A
HP1b_SRR3488078,HP1b
CG17912_SRR3488079,CG17912
dalao_SRR3488080,dalao
CG3065_SRR3488081,CG3065
Atf3_SRR3488082,Atf3
BtbVII_SRR3488083,BtbVII
CG9727_SRR3488084,CG9727
pnt_SRR3488085,pnt
CG2051_SRR3488086,CG2051
CG17361_SRR3488087,CG17361
tna_SRR3488088,tna
CG2678_SRR3488089,CG2678
tgo_SRR3488090,tgo
HmgD_SRR3488091,HmgD
mamo_SRR3488092,mamo
abo_SRR3488093,abo
Camta_SRR3488094,Camta
Alh_SRR3488095,Alh
CG10959_SRR3488096,CG10959
pan_SRR3488097,pan
CG17829_SRR3488098,CG17829
Meics_SRR3488099,Meics
CG7372_SRR3488100,CG7372
Clamp_SRR3488101,Clamp
Ssrp_SRR3488102,Ssrp
CG1529_SRR3488103,CG1529
MED30_SRR3488104,MED30
Aef1_SRR3488105,Aef1
CG10209_SRR3488106,CG10209
Atf6_SRR3488107,Atf6
CG13775_SRR3488108,CG13775
CG13897_SRR3488109,CG13897
CG18262_SRR3488110,CG18262
CG15436_SRR3488111,CG15436
ph-d_SRR3488112,ph-d
CG7987_SRR3488113,CG7987
Su[var]2-HP2_SRR3488114,Su[var]2-HP2
CG2202_SRR3488115,CG2202
CG4360_SRR3488116,CG4360
ap_SRR3488117,ap
CG1024_SRR3488118,CG1024
sqz_SRR3488119,sqz
Trf2_SRR3488120,Trf2
hang_SRR3488121,hang
Sfmbt_SRR3488122,Sfmbt
CG10147_SRR3488123,CG10147
CG11695_SRR3488124,CG11695
CG4557_SRR3488125,CG4557
CG11247_SRR3488126,CG11247
CG32767_SRR3488127,CG32767
Taf10_SRR3488128,Taf10
ash1_SRR3488129,ash1
Zif_SRR3488130,Zif
dl_SRR3488131,dl
CG5147_SRR3488132,CG5147
LacZ_SRR3488133,LacZ
CG17359_SRR3488134,CG17359
lid_SRR3488135,lid
CG15514_SRR3488136,CG15514
CG17328_SRR3488137,CG17328
CG2678_SRR3488138,CG2678
CG3032_SRR3488139,CG3032
exd_SRR3488140,exd
Asx_SRR3488141,Asx
CG10462_SRR3488142,CG10462
M1BP_SRR3488143,M1BP
dwg_SRR3488144,dwg
chn_SRR3488145,chn
CG17802_SRR3488146,CG17802
E2f1_SRR3488147,E2f1
Taf1_SRR3488148,Taf1
CG10949_SRR3488149,CG10949
wda_SRR3488150,wda
CG2116_SRR3488151,CG2116
Mrtf_SRR3488152,Mrtf
az2_SRR3488153,az2
CG10631_SRR3488154,CG10631
CG6791_SRR3488155,CG6791
mip120_SRR3488156,mip120
CG7386_SRR3488157,CG7386
CG17328_SRR3488158,CG17328
ranshi_SRR3488159,ranshi
Rabex-5_SRR3488160,Rabex-5
CG17568_SRR3488161,CG17568
fru_SRR3488162,fru
CG2129_SRR3488163,CG2129
enok_SRR3488164,enok
Hcf_SRR3488165,Hcf
key_SRR3488166,key
CG10654_SRR3488167,CG10654
CG12219_SRR3488168,CG12219
cwo_SRR3488169,cwo
Not1_SRR3488170,Not1
CG3995_SRR3488171,CG3995
CG5641_SRR3488172,CG5641
CG7928_SRR3488173,CG7928
CG8944_SRR3488174,CG8944
CrebA_SRR3488175,CrebA
ERR_SRR3488176,ERR
her_SRR3488177,her
kto_SRR3488178,kto
CG10669_SRR3488179,CG10669
CG12299_SRR3488180,CG12299
cwo_SRR3488181,cwo
CG2202_SRR3488182,CG2202
CG4282_SRR3488183,CG4282
Spps_SRR3488184,Spps
CG7963_SRR3488185,CG7963
CG9215_SRR3488186,CG9215
crp_SRR3488187,crp
HLH106_SRR3488188,HLH106
l[1]1Bi_SRR3488189,l[1]1Bi
CG10979_SRR3488190,CG10979
CG12391_SRR3488191,CG12391
Set2_SRR3488192,Set2
CG31365_SRR3488193,CG31365
CG4424_SRR3488194,CG4424
CG6254_SRR3488195,CG6254
CG8089_SRR3488196,CG8089
CG9705_SRR3488197,CG9705
cyc_SRR3488198,cyc
foxo_SRR3488199,foxo
E[spl]mbeta-HLH_SRR3488200,E[spl]mbeta-HLH
lds_SRR3488201,lds
CG11398_SRR3488202,CG11398
CG12744_SRR3488203,CG12744
CG17568_SRR3488204,CG17568
CG31388_SRR3488205,CG31388
CG4496_SRR3488206,CG4496
CG6654_SRR3488207,CG6654
CG8359_SRR3488208,CG8359
Chd1_SRR3488209,Chd1
da_SRR3488210,da
ftz-f1_SRR3488211,ftz-f1
Hmr_SRR3488212,Hmr
lilli_SRR3488213,lilli
CG11414_SRR3488214,CG11414
CG13123_SRR3488215,CG13123
CG17806_SRR3488216,CG17806
CG3407_SRR3488217,CG3407
mtRNApol_SRR3488218,mtRNApol
Plzf_SRR3488219,Plzf
CG8388_SRR3488220,CG8388
Chro_SRR3488221,Chro
Dp_SRR3488222,Dp
fu2_SRR3488223,fu2
jing_SRR3488224,jing
Mad_SRR3488225,Mad
CG11456_SRR3488226,CG11456
CG14710_SRR3488227,CG14710
LacZ_SRR3488228,LacZ
CG3838_SRR3488229,CG3838
CG4707_SRR3488230,CG4707
CG6813_SRR3488231,CG6813
CG8478_SRR3488232,CG8478
CkIIalpha-i1_SRR3488233,CkIIalpha-i1
Dref_SRR3488234,Dref
GATAd_SRR3488235,GATAd
jumu_SRR3488236,jumu
Max_SRR3488237,Max
CG11696_SRR3488238,CG11696
CG15011_SRR3488239,CG15011
Br140_SRR3488240,Br140
CG3909_SRR3488241,CG3909
CG4820_SRR3488242,CG4820
CG34422_SRR3488243,CG34422
CG8578_SRR3488244,CG8578
Cp190_SRR3488245,Cp190
E2f2_SRR3488246,E2f2
hay_SRR3488247,hay
ken_SRR3488248,ken
MBD-like_SRR3488249,MBD-like
CG12054_SRR3488250,CG12054
CG1602_SRR3488251,CG1602
CG18476_SRR3488252,CG18476
CG3919_SRR3488253,CG3919
CG4936_SRR3488254,CG4936
CG7818_SRR3488255,CG7818
CG8924_SRR3488256,CG8924
crc_SRR3488257,crc
ecd_SRR3488258,ecd
enok_SRR3488259,enok
Hcf_SRR3488260,Hcf
key_SRR3488261,key
CG10654_SRR3488262,CG10654
CG12219_SRR3488263,CG12219
cwo_SRR3488264,cwo
Not1_SRR3488265,Not1
CG3995_SRR3488266,CG3995
CG5641_SRR3488267,CG5641
CG7928_SRR3488268,CG7928
CG8944_SRR3488269,CG8944
CrebA_SRR3488270,CrebA
ERR_SRR3488271,ERR
her_SRR3488272,her
kto_SRR3488273,kto
CG10669_SRR3488274,CG10669
CG12299_SRR3488275,CG12299
cwo_SRR3488276,cwo
CG2202_SRR3488277,CG2202
CG4282_SRR3488278,CG4282
Spps_SRR3488279,Spps
CG7963_SRR3488280,CG7963
CG9215_SRR3488281,CG9215
crp_SRR3488282,crp
HLH106_SRR3488283,HLH106
l[1]1Bi_SRR3488284,l[1]1Bi
CG10979_SRR3488285,CG10979
CG12391_SRR3488286,CG12391
Set2_SRR3488287,Set2
CG31365_SRR3488288,CG31365
CG4424_SRR3488289,CG4424
CG6254_SRR3488290,CG6254
CG8089_SRR3488291,CG8089
CG9705_SRR3488292,CG9705
cyc_SRR3488293,cyc
foxo_SRR3488294,foxo
E[spl]mbeta-HLH_SRR3488295,E[spl]mbeta-HLH
lds_SRR3488296,lds
CG11398_SRR3488297,CG11398
CG12744_SRR3488298,CG12744
CG17568_SRR3488299,CG17568
CG31388_SRR3488300,CG31388
CG4496_SRR3488301,CG4496
CG6654_SRR3488302,CG6654
CG8359_SRR3488303,CG8359
Chd1_SRR3488304,Chd1
da_SRR3488305,da
ftz-f1_SRR3488306,ftz-f1
Hmr_SRR3488307,Hmr
lilli_SRR3488308,lilli
CG11414_SRR3488309,CG11414
CG13123_SRR3488310,CG13123
CG17806_SRR3488311,CG17806
CG3407_SRR3488312,CG3407
mtRNApol_SRR3488313,mtRNApol
Plzf_SRR3488314,Plzf
CG8388_SRR3488315,CG8388
Chro_SRR3488316,Chro
Dp_SRR3488317,Dp
fu2_SRR3488318,fu2
jing_SRR3488319,jing
Mad_SRR3488320,Mad
CG11456_SRR3488321,CG11456
CG14710_SRR3488322,CG14710
LacZ_SRR3488323,LacZ
CG3838_SRR3488324,CG3838
CG4707_SRR3488325,CG4707
CG6813_SRR3488326,CG6813
CG8478_SRR3488327,CG8478
CkIIalpha-i1_SRR3488328,CkIIalpha-i1
Dref_SRR3488329,Dref
GATAd_SRR3488330,GATAd
jumu_SRR3488331,jumu
Max_SRR3488332,Max
CG11696_SRR3488333,CG11696
CG15011_SRR3488334,CG15011
Br140_SRR3488335,Br140
CG3909_SRR3488336,CG3909
CG4820_SRR3488337,CG4820
CG34422_SRR3488338,CG34422
CG8578_SRR3488339,CG8578
Cp190_SRR3488340,Cp190
E2f2_SRR3488341,E2f2
hay_SRR3488342,hay
ken_SRR3488343,ken
MBD-like_SRR3488344,MBD-like
CG12054_SRR3488345,CG12054
CG1602_SRR3488346,CG1602
CG18476_SRR3488347,CG18476
CG3919_SRR3488348,CG3919
CG4936_SRR3488349,CG4936
CG7818_SRR3488350,CG7818
CG8924_SRR3488351,CG8924
crc_SRR3488352,crc
ecd_SRR3488353,ecd
Sox14_SRR3488354,Sox14
ATbp_SRR3488355,ATbp
ecd_SRR3488356,ecd
MBD-R2_SRR3488357,MBD-R2
Mes-4_SRR3488358,Mes-4
net_SRR3488359,net
Ravus_SRR3488360,Ravus
Sin3A_SRR3488361,Sin3A
trx_SRR3488362,trx
CG14962_SRR3488363,CG14962
CG17186_SRR3488364,CG17186
CG4617_SRR3488365,CG4617
CG10949_SRR3488366,CG10949
mxc_SRR3488367,mxc
CG6276_SRR3488368,CG6276
mbf1_SRR3488369,mbf1
MESR4_SRR3488370,MESR4
osa_SRR3488371,osa
Rel_SRR3488372,Rel
skd_SRR3488373,skd
tsh_SRR3488374,tsh
CG11560_SRR3488375,CG11560
