sample_name,rnai
Snr1_SRR3487040,Snr1
CG7987_SRR3487042,CG7987
Taf12_SRR3487043,Taf12
CG7928_SRR3487045,CG7928
p53_SRR3487046,p53
Taf11_SRR3487048,Taf11
Taf6_SRR3487050,Taf6
CG3995_SRR3487052,CG3995
pnr_SRR3487054,pnr
CG4424_SRR3487055,CG4424
wdn_SRR3487057,wdn
Trf_SRR3487060,Trf
ash1_SRR3487062,ash1
CG9727_SRR3487063,CG9727
CG5641_SRR3487064,CG5641
su[Hw]_SRR3487066,su[Hw]
Hcf_SRR3487069,Hcf
Taf10_SRR3487071,Taf10
CoRest_SRR3487073,CoRest
TfIIFalpha_SRR3487075,TfIIFalpha
Cp190_SRR3487077,Cp190
Sry-beta_SRR3487080,Sry-beta
Pur-alpha_SRR3487081,Pur-alpha
CG13123_SRR3487083,CG13123
CG10959_SRR3487084,CG10959
CG7101_SRR3487085,CG7101
CG11456_SRR3487086,CG11456
CG14710_SRR3487087,CG14710
LacZ_SRR3487088,LacZ
CycC_SRR3487089,CycC
trx_SRR3487090,trx
Stat92E_SRR3487092,Stat92E
pan_SRR3487093,pan
l[1]1Bi_SRR3487094,l[1]1Bi
CG2116_SRR3487096,CG2116
CG8578_SRR3487097,CG8578
MED1_SRR3487098,MED1
CG31388_SRR3487099,CG31388
CG6654_SRR3487100,CG6654
Dad_SRR3487101,Dad
Mnt_SRR3487105,Mnt
tai_SRR3487107,tai
CG9609_SRR3487109,CG9609
pzg_SRR3487110,pzg
MRG15_SRR3487113,MRG15
CG7357_SRR3487115,CG7357
kay_SRR3487116,kay
net_SRR3487118,net
Taf12L_SRR3487119,Taf12L
nej_SRR3487121,nej
foxo_SRR3487124,foxo
CG6791_SRR3487125,CG6791
cnc_SRR3487127,cnc
CG31224_SRR3487128,CG31224
HP6_SRR3487131,HP6
Bap60_SRR3487133,Bap60
Snr1_SRR3487135,Snr1
CG7987_SRR3487137,CG7987
CG7928_SRR3487140,CG7928
p53_SRR3487141,p53
Taf11_SRR3487143,Taf11
Zif_SRR3487146,Zif
pnr_SRR3487149,pnr
E[spl]mbeta-HLH_SRR3487151,E[spl]mbeta-HLH
wdn_SRR3487152,wdn
ash1_SRR3487157,ash1
CG5641_SRR3487159,CG5641
su[Hw]_SRR3487161,su[Hw]
MED20_SRR3487167,MED20
Chro_SRR3487169,Chro
Cp190_SRR3487172,Cp190
CG31365_SRR3487174,CG31365
Pur-alpha_SRR3487176,Pur-alpha
CG10959_SRR3487179,CG10959
CG14710_SRR3487182,CG14710
CycC_SRR3487184,CycC
CG4936_SRR3487186,CG4936
Stat92E_SRR3487187,Stat92E
l[1]1Bi_SRR3487189,l[1]1Bi
CG2116_SRR3487191,CG2116
MED1_SRR3487193,MED1
CG6654_SRR3487195,CG6654
CG15514_SRR3487197,CG15514
HP1c_SRR3487198,HP1c
Mnt_SRR3487200,Mnt
tai_SRR3487202,tai
CG2129_SRR3487203,CG2129
CG9609_SRR3487204,CG9609
CG6689_SRR3487207,CG6689
CG17806_SRR3487209,CG17806
CG3847_SRR3487212,CG3847
MED27_SRR3487215,MED27
abo_SRR3487218,abo
CG8089_SRR3487222,CG8089
E[bx]_SRR3487224,E[bx]
CG10654_SRR3487225,CG10654
CG14667_SRR3487227,CG14667
CG18764_SRR3487228,CG18764
e[y]1_SRR3487229,e[y]1
tsh_SRR3487231,tsh
Nipped-A_SRR3487232,Nipped-A
CG8388_SRR3487234,CG8388
MESR4_SRR3487235,MESR4
CG17359_SRR3487237,CG17359
Dif_SRR3487241,Dif
CG17385_SRR3487244,CG17385
maf-S_SRR3487246,maf-S
MED10_SRR3487248,MED10
Alh_SRR3487250,Alh
Taf13_SRR3487252,Taf13
HmgZ_SRR3487254,HmgZ
CG18011_SRR3487256,CG18011
CG7386_SRR3487259,CG7386
Meics_SRR3487261,Meics
CG1024_SRR3487262,CG1024
Hand_SRR3487264,Hand
lola_SRR3487269,lola
ptip_SRR3487272,ptip
Taf1_SRR3487274,Taf1
Mio_SRR3487276,Mio
LacZ_SRR3487278,LacZ
Opbp_SRR3487279,Opbp
rhi_SRR3487281,rhi
nab_SRR3487282,nab
Chd3_SRR3487284,Chd3
CG3909_SRR3487286,CG3909
da_SRR3487289,da
MED23_SRR3487290,MED23
Blos1_SRR3487291,Blos1
gem_SRR3487292,gem
CG11906_SRR3487293,CG11906
Pdp1_SRR3487295,Pdp1
YL-1_SRR3487300,YL-1
CG9890_SRR3487302,CG9890
mip120_SRR3487304,mip120
pfk_SRR3487306,pfk
Eip74EF_SRR3487308,Eip74EF
MED27_SRR3487310,MED27
abo_SRR3487313,abo
Nurf-38_SRR3487315,Nurf-38
CG1602_SRR3487316,CG1602
CG15073_SRR3487318,CG15073
E[bx]_SRR3487319,E[bx]
HLH106_SRR3487321,HLH106
CG18764_SRR3487323,CG18764
Rpb11_SRR3487325,Rpb11
tsh_SRR3487326,tsh
CG1663_SRR3487328,CG1663
CG8388_SRR3487329,CG8388
rno_SRR3487331,rno
CG2051_SRR3487333,CG2051
Nf-YB_SRR3487335,Nf-YB
MED16_SRR3487337,MED16
CG17385_SRR3487339,CG17385
maf-S_SRR3487341,maf-S
cyc_SRR3487344,cyc
Taf13_SRR3487347,Taf13
EcR_SRR3487350,EcR
Iswi_SRR3487352,Iswi
Meics_SRR3487356,Meics
CG4820_SRR3487358,CG4820
crc_SRR3487360,crc
mle_SRR3487362,mle
lola_SRR3487364,lola
CG13897_SRR3487365,CG13897
ptip_SRR3487367,ptip
Taf1_SRR3487369,Taf1
Mio_SRR3487371,Mio
LacZ_SRR3487373,LacZ
Opbp_SRR3487374,Opbp
rhi_SRR3487376,rhi
D19B_SRR3487378,D19B
skd_SRR3487380,skd
MED7_SRR3487382,MED7
MED23_SRR3487385,MED23
CG11906_SRR3487388,CG11906
Pdp1_SRR3487390,Pdp1
CkIIalpha-i1_SRR3487391,CkIIalpha-i1
CG6808_SRR3487394,CG6808
dl_SRR3487396,dl
mip120_SRR3487399,mip120
pfk_SRR3487401,pfk
Eip74EF_SRR3487403,Eip74EF
CG30020_SRR3487405,CG30020
CG6813_SRR3487407,CG6813
topi_SRR3487408,topi
Su[var]3-7_SRR3487409,Su[var]3-7
CG4854_SRR3487411,CG4854
Trf2_SRR3487414,Trf2
cic_SRR3487416,cic
MTF-1_SRR3487418,MTF-1
Ada2b_SRR3487420,Ada2b
CHES-1-like_SRR3487425,CHES-1-like
kay_SRR3487428,kay
crol_SRR3487429,crol
MBD-like_SRR3487432,MBD-like
CG17802_SRR3487433,CG17802
Mnt_SRR3487436,Mnt
ttk_SRR3487440,ttk
jumu_SRR3487443,jumu
CG43343_SRR3487445,CG43343
CG17829_SRR3487448,CG17829
Met_SRR3487450,Met
sage_SRR3487452,sage
CG8301_SRR3487454,CG8301
CG10669_SRR3487456,CG10669
CG18262_SRR3487459,CG18262
Hmr_SRR3487461,Hmr
shn_SRR3487463,shn
Hr51_SRR3487465,Hr51
CG8319_SRR3487466,CG8319
LacZ_SRR3487468,LacZ
sba_SRR3487470,sba
CG2889_SRR3487473,CG2889
dik_SRR3487474,dik
E[Pc]_SRR3487475,E[Pc]
CG7101_SRR3487477,CG7101
CG8359_SRR3487478,CG8359
dys_SRR3487480,dys
Arc42_SRR3487481,Arc42
CG1792_SRR3487482,CG1792
CG11398_SRR3487484,CG11398
mamo_SRR3487485,mamo
sbb_SRR3487487,sbb
Crg-1_SRR3487489,Crg-1
CG8478_SRR3487490,CG8478
Rpb10_SRR3487492,Rpb10
CG4730_SRR3487493,CG4730
CG4557_SRR3487495,CG4557
NFAT_SRR3487497,NFAT
sd_SRR3487499,sd
br_SRR3487501,br
topi_SRR3487503,topi
Ets97D_SRR3487507,Ets97D
cic_SRR3487511,cic
MTF-1_SRR3487513,MTF-1
Ada2b_SRR3487515,Ada2b
lds_SRR3487516,lds
MED26_SRR3487519,MED26
CHES-1-like_SRR3487520,CHES-1-like
mof_SRR3487521,mof
CG34422_SRR3487522,CG34422
kay_SRR3487523,kay
crol_SRR3487524,crol
Mnt_SRR3487531,Mnt
HmgZ_SRR3487532,HmgZ
CG9215_SRR3487533,CG9215
CG10321_SRR3487534,CG10321
ttk_SRR3487535,ttk
d4_SRR3487536,d4
CG12236_SRR3487542,CG12236
CG17829_SRR3487543,CG17829
pita_SRR3487544,pita
Met_SRR3487545,Met
luna_SRR3487546,luna
sage_SRR3487547,sage
bl_SRR3487548,bl
CG8301_SRR3487549,CG8301
Rbf2_SRR3487550,Rbf2
trem_SRR3487552,trem
sqz_SRR3487553,sqz
dik_SRR3487557,dik
shn_SRR3487558,shn
sba_SRR3487565,sba
MED22_SRR3487566,MED22
dik_SRR3487569,dik
E[Pc]_SRR3487570,E[Pc]
CG8359_SRR3487573,CG8359
RpII15_SRR3487574,RpII15
Arc42_SRR3487576,Arc42
CG1792_SRR3487577,CG1792
CG11398_SRR3487579,CG11398
exd_SRR3487581,exd
sbb_SRR3487582,sbb
Crg-1_SRR3487584,Crg-1
CG8478_SRR3487585,CG8478
Scm_SRR3487586,Scm
CG4730_SRR3487588,CG4730
Mes-4_SRR3487589,Mes-4
CG3711_SRR3487591,CG3711
NFAT_SRR3487592,NFAT
Taf8_SRR3487593,Taf8
Rbf_SRR3487595,Rbf
Usf_SRR3487596,Usf
Bap170_SRR3487599,Bap170
CG8944_SRR3487603,CG8944
MTA1-like_SRR3487605,MTA1-like
stwl_SRR3487608,stwl
Atf3_SRR3487609,Atf3
CG10543_SRR3487610,CG10543
ph-d_SRR3487612,ph-d
E[var]3-9_SRR3487613,E[var]3-9
jim_SRR3487628,jim
fd68A_SRR3487629,fd68A
pnr_SRR3487630,pnr
Tbp_SRR3487633,Tbp
Nf-YA_SRR3487634,Nf-YA
ken_SRR3487635,ken
apt_SRR3487636,apt
CG11723_SRR3487643,CG11723
Eip75B_SRR3487644,Eip75B
z_SRR3487645,z
pnt_SRR3487647,pnt
trr_SRR3487648,trr
dm_SRR3487649,dm
Blimp-1_SRR3487650,Blimp-1
CG4730_SRR3487662,CG4730
ftz-f1_SRR3487665,ftz-f1
Smox_SRR3487666,Smox
yps_SRR3487667,yps
Clamp_SRR3487669,Clamp
cg_SRR3487670,cg
hang_SRR3487671,hang
cic_SRR3487675,cic
Lmpt_SRR3487677,Lmpt
MED14_SRR3487678,MED14
MED11_SRR3487680,MED11
Lmpt_SRR3487681,Lmpt
E[spl]m3-HLH_SRR3487682,E[spl]m3-HLH
CG9890_SRR3487687,CG9890
chm_SRR3487711,chm
Eip74EF_SRR3487712,Eip74EF
usp_SRR3487714,usp
CG8924_SRR3487715,CG8924
Nf-YC_SRR3487716,Nf-YC
CG11247_SRR3487717,CG11247
Nipped-A_SRR3487720,Nipped-A
EloA_SRR3487721,EloA
BtbVII_SRR3487722,BtbVII
jim_SRR3487723,jim
fd68A_SRR3487724,fd68A
TfIIS_SRR3487726,TfIIS
brk_SRR3487727,brk
ken_SRR3487730,ken
chinmo_SRR3487732,chinmo
luna_SRR3487736,luna
Mef2_SRR3487737,Mef2
CG11723_SRR3487738,CG11723
z_SRR3487740,z
pnt_SRR3487742,pnt
mof_SRR3487747,mof
NK7.1_SRR3487748,NK7.1
peb_SRR3487751,peb
Xbp1_SRR3487752,Xbp1
LacZ_SRR3487753,LacZ
tef_SRR3487755,tef
Asx_SRR3487756,Asx
D19B_SRR3487758,D19B
Sry-beta_SRR3487759,Sry-beta
yps_SRR3487762,yps
cg_SRR3487765,cg
CG42724_SRR3487767,CG42724
MED15_SRR3487768,MED15
cic_SRR3487770,cic
MED23_SRR3487771,MED23
MED14_SRR3487773,MED14
CG11294_SRR3487774,CG11294
MED11_SRR3487775,MED11
tna_SRR3487778,tna
CoRest_SRR3487779,CoRest
CG9890_SRR3487782,CG9890
Cf2_SRR3487784,Cf2
Dad_SRR3487785,Dad
MED4_SRR3487787,MED4
pad_SRR3487789,pad
CG3711_SRR3487791,CG3711
Met_SRR3487793,Met
Taf12_SRR3487796,Taf12
Cdk8_SRR3487798,Cdk8
bs_SRR3487800,bs
Taf7_SRR3487803,Taf7
Ets96B_SRR3487805,Ets96B
br_SRR3487810,br
ush_SRR3487813,ush
nej_SRR3487814,nej
Rpb11_SRR3487816,Rpb11
HP1c_SRR3487820,HP1c
Med_SRR3487822,Med
cbt_SRR3487824,cbt
crol_SRR3487826,crol
XNP_SRR3487828,XNP
Bap170_SRR3487829,Bap170
CG10321_SRR3487831,CG10321
emc_SRR3487832,emc
CG12236_SRR3487834,CG12236
glu_SRR3487836,glu
CG2199_SRR3487838,CG2199
mip130_SRR3487839,mip130
Jra_SRR3487841,Jra
CG6689_SRR3487843,CG6689
Chi_SRR3487844,Chi
CG9305_SRR3487845,CG9305
Hr39_SRR3487847,Hr39
peb_SRR3487849,peb
CG17385_SRR3487851,CG17385
CG7099_SRR3487852,CG7099
CTCF_SRR3487854,CTCF
CG11902_SRR3487857,CG11902
CG8145_SRR3487859,CG8145
brm_SRR3487860,brm
ttk_SRR3487863,ttk
chinmo_SRR3487868,chinmo
e[y]1_SRR3487870,e[y]1
Mio_SRR3487872,Mio
Lhr_SRR3487874,Lhr
CG8301_SRR3487878,CG8301
Dad_SRR3487880,Dad
Deaf1_SRR3486644,Deaf1
sage_SRR3486650,sage
CG5245_SRR3486651,CG5245
CG18446_SRR3486653,CG18446
MED10_SRR3486657,MED10
CG32767_SRR3486661,CG32767
TfIIFalpha_SRR3486662,TfIIFalpha
Hr51_SRR3486663,Hr51
Eip75B_SRR3486664,Eip75B
MTF-1_SRR3486665,MTF-1
MED20_SRR3486666,MED20
MED22_SRR3486668,MED22
spt4_SRR3486670,spt4
CrebB_SRR3486672,CrebB
Rpb10_SRR3486674,Rpb10
Bap60_SRR3486676,Bap60
Dsp1_SRR3486678,Dsp1
Xbp1_SRR3486681,Xbp1
tef_SRR3486682,tef
DIP1_SRR3486684,DIP1
stc_SRR3486685,stc
pzg_SRR3486687,pzg
Ssrp_SRR3486689,Ssrp
srp_SRR3486690,srp
trem_SRR3486691,trem
Hr96_SRR3486693,Hr96
Ada2b_SRR3486698,Ada2b
Nf-YC_SRR3486699,Nf-YC
Stat92E_SRR3486700,Stat92E
Taf8_SRR3486701,Taf8
srp_SRR3486702,srp
CHES-1-like_SRR3486703,CHES-1-like
woc_SRR3486704,woc
Taf11_SRR3486705,Taf11
Sry-delta_SRR3486706,Sry-delta
l[3]neo38_SRR3486707,l[3]neo38
LacZ_SRR3486708,LacZ
lolal_SRR3486712,lolal
Tbp_SRR3486713,Tbp
CG1965_SRR3486714,CG1965
Df31_SRR3486715,Df31
Cf2_SRR3486718,Cf2
CG11902_SRR3486719,CG11902
Df31_SRR3486720,Df31
Tip60_SRR3486722,Tip60
Usf_SRR3486731,Usf
SC35_SRR3486732,SC35
Nf-YA_SRR3486734,Nf-YA
RpII15_SRR3486735,RpII15
Pc_SRR3486736,Pc
CG11695_SRR3486737,CG11695
CG7357_SRR3486738,CG7357
Deaf1_SRR3486739,Deaf1
MED1_SRR3486740,MED1
CG18619_SRR3486741,CG18619
CG12054_SRR3486742,CG12054
apt_SRR3486744,apt
CG5245_SRR3486746,CG5245
CG18446_SRR3486748,CG18446
CG18011_SRR3486751,CG18011
MED10_SRR3486752,MED10
CG33213_SRR3486753,CG33213
egg_SRR3486754,egg
CG32767_SRR3486756,CG32767
Eip75B_SRR3486759,Eip75B
MED20_SRR3486761,MED20
MED22_SRR3486763,MED22
spt4_SRR3486765,spt4
ix_SRR3486766,ix
Thd1_SRR3486768,Thd1
tai_SRR3486770,tai
Bap60_SRR3486771,Bap60
Xbp1_SRR3486776,Xbp1
tef_SRR3486777,tef
DIP1_SRR3486779,DIP1
zfh1_SRR3486781,zfh1
pzg_SRR3486782,pzg
aop_SRR3486783,aop
srp_SRR3486785,srp
Hr96_SRR3486788,Hr96
CG17361_SRR3486790,CG17361
grp_SRR3486792,grp
Nf-YC_SRR3486794,Nf-YC
Stat92E_SRR3486795,Stat92E
Taf8_SRR3486796,Taf8
srp_SRR3486797,srp
woc_SRR3486799,woc
LacZ_SRR3486803,LacZ
z_SRR3486804,z
Cdc5_SRR3486806,Cdc5
lolal_SRR3486807,lolal
Tbp_SRR3486808,Tbp
Df31_SRR3486810,Df31
CycC_SRR3486812,CycC
Df31_SRR3486815,Df31
Med_SRR3486818,Med
Snr1_SRR3486819,Snr1
ssp_SRR3486821,ssp
maf-S_SRR3486822,maf-S
CG2712_SRR3486824,CG2712
CG10543_SRR3486825,CG10543
Adf1_SRR3486828,Adf1
RpII15_SRR3486830,RpII15
CG11695_SRR3486832,CG11695
CG11723_SRR3486837,CG11723
ush_SRR3486838,ush
CG7818_SRR3486839,CG7818
enok_SRR3486841,enok
Chi_SRR3486842,Chi
CG12942_SRR3486843,CG12942
CG2199_SRR3486846,CG2199
D19A_SRR3486848,D19A
CG10366_SRR3486850,CG10366
CG11414_SRR3486853,CG11414
rgr_SRR3486855,rgr
Gcn5_SRR3486859,Gcn5
CG17612_SRR3486860,CG17612
CG9305_SRR3486862,CG9305
Kdm4A_SRR3486866,Kdm4A
Sin3A_SRR3486867,Sin3A
CG4282_SRR3486868,CG4282
Cdc5_SRR3486869,Cdc5
Taf4_SRR3486871,Taf4
Dref_SRR3486874,Dref
pita_SRR3486876,pita
az2_SRR3486879,az2
lolal_SRR3486880,lolal
E[bx]_SRR3486881,E[bx]
ERR_SRR3486882,ERR
Br140_SRR3486890,Br140
Dp_SRR3486892,Dp
Rabex-5_SRR3486893,Rabex-5
mbf1_SRR3486895,mbf1
GATAd_SRR3486897,GATAd
stc_SRR3486899,stc
Lpt_SRR3486900,Lpt
Not1_SRR3486902,Not1
Hsf_SRR3486904,Hsf
CG5147_SRR3486907,CG5147
Plzf_SRR3486909,Plzf
zf30C_SRR3486911,zf30C
CG12391_SRR3486913,CG12391
BEAF-32_SRR3486915,BEAF-32
MED14_SRR3486916,MED14
CG10274_SRR3486917,CG10274
Cdk8_SRR3486918,Cdk8
CG9437_SRR3486924,CG9437
CG12744_SRR3486925,CG12744
Camta_SRR3486926,Camta
CG10209_SRR3486927,CG10209
CG11723_SRR3486932,CG11723
ush_SRR3486933,ush
CG7818_SRR3486934,CG7818
TfIIS_SRR3486935,TfIIS
enok_SRR3486936,enok
Chi_SRR3486937,Chi
Jra_SRR3486939,Jra
CG2199_SRR3486941,CG2199
CG10366_SRR3486945,CG10366
lid_SRR3486946,lid
CG11414_SRR3486948,CG11414
Mef2_SRR3486951,Mef2
Lhr_SRR3486952,Lhr
CG3919_SRR3486953,CG3919
CG9305_SRR3486957,CG9305
key_SRR3486959,key
Kdm4A_SRR3486961,Kdm4A
CG4282_SRR3486963,CG4282
CG7372_SRR3486965,CG7372
CG3407_SRR3486967,CG3407
CG10631_SRR3486968,CG10631
her_SRR3486970,her
pita_SRR3486971,pita
CG1603_SRR3486973,CG1603
lolal_SRR3486975,lolal
ERR_SRR3486977,ERR
hay_SRR3486978,hay
cbt_SRR3486979,cbt
Sfmbt_SRR3486980,Sfmbt
E2f2_SRR3486981,E2f2
CG4707_SRR3486983,CG4707
jing_SRR3486984,jing
Rabex-5_SRR3486988,Rabex-5
mtRNApol_SRR3486991,mtRNApol
Not1_SRR3486997,Not1
MED4_SRR3487001,MED4
CG5147_SRR3487002,CG5147
Plzf_SRR3487004,Plzf
zf30C_SRR3487006,zf30C
CG9418_SRR3487007,CG9418
rgr_SRR3487009,rgr
BEAF-32_SRR3487010,BEAF-32
CG10274_SRR3487012,CG10274
Su[var]205_SRR3487017,Su[var]205
Rtf1_SRR3487018,Rtf1
CG9437_SRR3487019,CG9437
CG12744_SRR3487020,CG12744
Camta_SRR3487021,Camta
CG10209_SRR3487022,CG10209
CG1233_SRR3487023,CG1233
Taf12L_SRR3487024,Taf12L
nej_SRR3487026,nej
CG9705_SRR3487027,CG9705
foxo_SRR3487029,foxo
CG6791_SRR3487030,CG6791
Rel_SRR3487031,Rel
osa_SRR3487034,osa
HP6_SRR3487036,HP6
Bap60_SRR3487038,Bap60
Max_SRR3487039,Max
CG3281_SRR3487041,CG3281
bigmax_SRR3487044,bigmax
CG2712_SRR3487047,CG2712
CG11696_SRR3487049,CG11696
Zif_SRR3487051,Zif
MED6_SRR3487053,MED6
E[spl]mbeta-HLH_SRR3487056,E[spl]mbeta-HLH
Tip60_SRR3487058,Tip60
Mad_SRR3487059,Mad
Set2_SRR3487061,Set2
M1BP_SRR3487065,M1BP
XNP_SRR3487067,XNP
Hr96_SRR3487068,Hr96
Rbf_SRR3487070,Rbf
MED20_SRR3487072,MED20
Chro_SRR3487074,Chro
CG6254_SRR3487076,CG6254
tgo_SRR3487078,tgo
CG31365_SRR3487079,CG31365
dwg_SRR3487082,dwg
CG4936_SRR3487091,CG4936
CG13775_SRR3487095,CG13775
CG15514_SRR3487102,CG15514
HP1c_SRR3487103,HP1c
MED17_SRR3487104,MED17
Spt6_SRR3487106,Spt6
CG2129_SRR3487108,CG2129
CG18476_SRR3487111,CG18476
CG6689_SRR3487112,CG6689
CG17806_SRR3487114,CG17806
CG3847_SRR3487117,CG3847
CG4496_SRR3487120,CG4496
CG9705_SRR3487122,CG9705
Hr78_SRR3487123,Hr78
Rel_SRR3487126,Rel
osa_SRR3487129,osa
CG32772_SRR3487130,CG32772
fu2_SRR3487132,fu2
Max_SRR3487134,Max
CG3281_SRR3487136,CG3281
Taf12_SRR3487138,Taf12
bigmax_SRR3487139,bigmax
CG2712_SRR3487142,CG2712
CG11696_SRR3487144,CG11696
Taf6_SRR3487145,Taf6
CG3995_SRR3487147,CG3995
MED6_SRR3487148,MED6
CG4424_SRR3487150,CG4424
Tip60_SRR3487153,Tip60
Mad_SRR3487154,Mad
Trf_SRR3487155,Trf
Set2_SRR3487156,Set2
CG9727_SRR3487158,CG9727
M1BP_SRR3487160,M1BP
XNP_SRR3487162,XNP
Hr96_SRR3487163,Hr96
Hcf_SRR3487164,Hcf
Rbf_SRR3487165,Rbf
Taf10_SRR3487166,Taf10
CoRest_SRR3487168,CoRest
TfIIFalpha_SRR3487170,TfIIFalpha
CG6254_SRR3487171,CG6254
tgo_SRR3487173,tgo
Sry-beta_SRR3487175,Sry-beta
dwg_SRR3487177,dwg
CG13123_SRR3487178,CG13123
CG7101_SRR3487180,CG7101
CG11456_SRR3487181,CG11456
LacZ_SRR3487183,LacZ
trx_SRR3487185,trx
pan_SRR3487188,pan
CG13775_SRR3487190,CG13775
CG8578_SRR3487192,CG8578
CG31388_SRR3487194,CG31388
Dad_SRR3487196,Dad
MED17_SRR3487199,MED17
Spt6_SRR3487201,Spt6
pzg_SRR3487205,pzg
CG18476_SRR3487206,CG18476
MRG15_SRR3487208,MRG15
CG7357_SRR3487210,CG7357
kay_SRR3487211,kay
net_SRR3487213,net
HGTX_SRR3487214,HGTX
Ravus_SRR3487216,Ravus
Myb_SRR3487217,Myb
CG31612_SRR3487219,CG31612
Nurf-38_SRR3487220,Nurf-38
CG1602_SRR3487221,CG1602
CG15073_SRR3487223,CG15073
HLH106_SRR3487226,HLH106
Rpb11_SRR3487230,Rpb11
CG1663_SRR3487233,CG1663
rno_SRR3487236,rno
CG2051_SRR3487238,CG2051
Taf7_SRR3487239,Taf7
Nf-YB_SRR3487240,Nf-YB
MED16_SRR3487242,MED16
Atf6_SRR3487243,Atf6
E[Pc]_SRR3487245,E[Pc]
CG10147_SRR3487247,CG10147
cyc_SRR3487249,cyc
Spt3_SRR3487251,Spt3
Su[H]_SRR3487253,Su[H]
EcR_SRR3487255,EcR
Iswi_SRR3487257,Iswi
sbb_SRR3487258,sbb
CG6272_SRR3487260,CG6272
CG4820_SRR3487263,CG4820
crc_SRR3487265,crc
grau_SRR3487266,grau
mle_SRR3487267,mle
CG30020_SRR3487268,CG30020
CG13897_SRR3487270,CG13897
MED24_SRR3487271,MED24
Aef1_SRR3487273,Aef1
CG5245_SRR3487275,CG5245
crp_SRR3487277,crp
CG18446_SRR3487280,CG18446
D19B_SRR3487283,D19B
skd_SRR3487285,skd
MED7_SRR3487287,MED7
CG18619_SRR3487288,CG18619
nab_SRR3487294,nab
CkIIalpha-i1_SRR3487296,CkIIalpha-i1
CG10979_SRR3487297,CG10979
MBD-R2_SRR3487298,MBD-R2
CG6808_SRR3487299,CG6808
dl_SRR3487301,dl
CG13204_SRR3487303,CG13204
MED8_SRR3487305,MED8
msl-3_SRR3487307,msl-3
HGTX_SRR3487309,HGTX
Ravus_SRR3487311,Ravus
Myb_SRR3487312,Myb
CG31612_SRR3487314,CG31612
CG8089_SRR3487317,CG8089
CG10654_SRR3487320,CG10654
CG14667_SRR3487322,CG14667
e[y]1_SRR3487324,e[y]1
Nipped-A_SRR3487327,Nipped-A
MESR4_SRR3487330,MESR4
CG17359_SRR3487332,CG17359
Taf7_SRR3487334,Taf7
Dif_SRR3487336,Dif
Atf6_SRR3487338,Atf6
E[Pc]_SRR3487340,E[Pc]
CG10147_SRR3487342,CG10147
MED10_SRR3487343,MED10
Alh_SRR3487345,Alh
Spt3_SRR3487346,Spt3
Su[H]_SRR3487348,Su[H]
HmgZ_SRR3487349,HmgZ
CG18011_SRR3487351,CG18011
sbb_SRR3487353,sbb
CG7386_SRR3487354,CG7386
CG6272_SRR3487355,CG6272
CG1024_SRR3487357,CG1024
Hand_SRR3487359,Hand
grau_SRR3487361,grau
CG30020_SRR3487363,CG30020
MED24_SRR3487366,MED24
Aef1_SRR3487368,Aef1
CG5245_SRR3487370,CG5245
crp_SRR3487372,crp
CG18446_SRR3487375,CG18446
nab_SRR3487377,nab
Chd3_SRR3487379,Chd3
CG3909_SRR3487381,CG3909
CG18619_SRR3487383,CG18619
da_SRR3487384,da
Blos1_SRR3487386,Blos1
gem_SRR3487387,gem
nab_SRR3487389,nab
CG10979_SRR3487392,CG10979
MBD-R2_SRR3487393,MBD-R2
YL-1_SRR3487395,YL-1
CG9890_SRR3487397,CG9890
CG13204_SRR3487398,CG13204
MED8_SRR3487400,MED8
msl-3_SRR3487402,msl-3
sd_SRR3487404,sd
br_SRR3487406,br
mRpL55_SRR3487410,mRpL55
Ets97D_SRR3487412,Ets97D
HP1b_SRR3487413,HP1b
e[y]2_SRR3487415,e[y]2
HGTX_SRR3487417,HGTX
CG7963_SRR3487419,CG7963
lds_SRR3487421,lds
dys_SRR3487422,dys
Ets96B_SRR3487423,Ets96B
MED26_SRR3487424,MED26
mof_SRR3487426,mof
CG34422_SRR3487427,CG34422
CG8145_SRR3487430,CG8145
ranshi_SRR3487431,ranshi
E2f1_SRR3487434,E2f1
pho_SRR3487435,pho
HmgZ_SRR3487437,HmgZ
CG9215_SRR3487438,CG9215
CG10321_SRR3487439,CG10321
d4_SRR3487441,d4
CG8159_SRR3487442,CG8159
pad_SRR3487444,pad
btn_SRR3487446,btn
CG12236_SRR3487447,CG12236
pita_SRR3487449,pita
luna_SRR3487451,luna
bl_SRR3487453,bl
Rbf2_SRR3487455,Rbf2
trem_SRR3487457,trem
sqz_SRR3487458,sqz
MED18_SRR3487460,MED18
dik_SRR3487462,dik
CG31224_SRR3487464,CG31224
Rfx_SRR3487467,Rfx
cnc_SRR3487469,cnc
MED22_SRR3487471,MED22
mip130_SRR3487472,mip130
MED26_SRR3487476,MED26
RpII15_SRR3487479,RpII15
CG3032_SRR3487483,CG3032
exd_SRR3487486,exd
CG3847_SRR3487488,CG3847
Scm_SRR3487491,Scm
Mes-4_SRR3487494,Mes-4
CG3711_SRR3487496,CG3711
Taf8_SRR3487498,Taf8
CG30020_SRR3487500,CG30020
CG6813_SRR3487502,CG6813
Su[var]3-7_SRR3487504,Su[var]3-7
mRpL55_SRR3487505,mRpL55
CG4854_SRR3487506,CG4854
HP1b_SRR3487508,HP1b
Trf2_SRR3487509,Trf2
e[y]2_SRR3487510,e[y]2
