sample_name,source_name,Developmental_Stage,input
dMyc.Kc167.late.embryo.ChIP.Rep.2_SRR1199485,dMyc Kc167 late embryo ChIP Rep.2,late embryonic stage,dMyc.Kc167.late.embryo.Input_SRR1199483
dMyc.S2.late.embryo.Input_SRR1199486,dMyc S2 late embryo Input,late embryonic stage,dMyc.S2.late.embryo.Input_SRR1199486
dMyc.S2.late.embryo.ChIP.Rep.1_SRR1199487,dMyc S2 late embryo ChIP Rep.1,late embryonic stage,dMyc.S2.late.embryo.Input_SRR1199486
dMyc.S2.late.embryo.ChIP.Rep.2_SRR1199488,dMyc S2 late embryo ChIP Rep.2,late embryonic stage,dMyc.S2.late.embryo.Input_SRR1199486
Dll_WPP_ChIP.seq_Input_Rep1_SRR1164435,Dll_WPP_ChIP-seq_Input_Rep1,White Prepupae (WPP),Dll_WPP_ChIP.seq_Input_Rep1_SRR1164435
Dll_WPP_ChIP.seq_Input_Rep2_SRR1164436,Dll_WPP_ChIP-seq_Input_Rep2,White Prepupae (WPP),Dll_WPP_ChIP.seq_Input_Rep2_SRR1164436
Dll_WPP_ChIP.seq_ChIP_Rep1_SRR1164437,Dll_WPP_ChIP-seq_ChIP_Rep1,White Prepupae (WPP),Dll_WPP_ChIP.seq_Input_Rep1_SRR1164435
Dll_WPP_ChIP.seq_ChIP_Rep2_SRR1164438,Dll_WPP_ChIP-seq_ChIP_Rep2,White Prepupae (WPP),Dll_WPP_ChIP.seq_Input_Rep2_SRR1164436
gro_WPP_ChIP.seq_Input_Rep1_SRR1164443,gro_WPP_ChIP-seq_Input_Rep1,White Prepupae (WPP),gro_WPP_ChIP.seq_Input_Rep1_SRR1164443
gro_WPP_ChIP.seq_Input_Rep2_SRR1164444,gro_WPP_ChIP-seq_Input_Rep2,White Prepupae (WPP),gro_WPP_ChIP.seq_Input_Rep2_SRR1164444
gro_WPP_ChIP.seq_ChIP_Rep1_SRR1164445,gro_WPP_ChIP-seq_ChIP_Rep1,White Prepupae (WPP),gro_WPP_ChIP.seq_Input_Rep1_SRR1164443
gro_WPP_ChIP.seq_ChIP_Rep2_SRR1164446,gro_WPP_ChIP-seq_ChIP_Rep2,White Prepupae (WPP),gro_WPP_ChIP.seq_Input_Rep2_SRR1164444
dMyc_W3L_ChIP.seq_Input_Rep1_SRR1164459,dMyc_W3L_ChIP-seq_Input_Rep1,L3,dMyc_W3L_ChIP.seq_Input_Rep1_SRR1164459
dMyc_W3L_ChIP.seq_Input_Rep2_SRR1164460,dMyc_W3L_ChIP-seq_Input_Rep2,L3,dMyc_W3L_ChIP.seq_Input_Rep2_SRR1164460
dMyc_W3L_ChIP.seq_ChIP_Rep1_SRR1164461,dMyc_W3L_ChIP-seq_ChIP_Rep1,L3,dMyc_W3L_ChIP.seq_Input_Rep1_SRR1164459
dMyc_W3L_ChIP.seq_ChIP_Rep2_SRR1164462,dMyc_W3L_ChIP-seq_ChIP_Rep2,L3,dMyc_W3L_ChIP.seq_Input_Rep2_SRR1164460
TCF_W3L_ChIP.seq_Input_Rep1_SRR1164481,TCF_W3L_ChIP-seq_Input_Rep1,L3,TCF_W3L_ChIP.seq_Input_Rep1_SRR1164481
TCF_W3L_ChIP.seq_Input_Rep2_SRR1164482,TCF_W3L_ChIP-seq_Input_Rep2,L3,TCF_W3L_ChIP.seq_Input_Rep2_SRR1164482
TCF_W3L_ChIP.seq_Input_Rep3_SRR1164483,TCF_W3L_ChIP-seq_Input_Rep3,L3,TCF_W3L_ChIP.seq_Input_Rep3_SRR1164483
TCF_W3L_ChIP.seq_ChIP_Rep1_SRR1164484,TCF_W3L_ChIP-seq_ChIP_Rep1,L3,TCF_W3L_ChIP.seq_Input_Rep1_SRR1164481
TCF_W3L_ChIP.seq_ChIP_Rep2_SRR1164485,TCF_W3L_ChIP-seq_ChIP_Rep2,L3,TCF_W3L_ChIP.seq_Input_Rep2_SRR1164482
TCF_W3L_ChIP.seq_ChIP_Rep3_SRR1164486,TCF_W3L_ChIP-seq_ChIP_Rep3,L3,TCF_W3L_ChIP.seq_Input_Rep3_SRR1164483
TCF_WPP_ChIP.seq_Input_Rep1_SRR1164487,TCF_WPP_ChIP-seq_Input_Rep1,White Prepupae (WPP),TCF_WPP_ChIP.seq_Input_Rep1_SRR1164487
TCF_WPP_ChIP.seq_Input_Rep2_SRR1164488,TCF_WPP_ChIP-seq_Input_Rep2,White Prepupae (WPP),TCF_WPP_ChIP.seq_Input_Rep2_SRR1164488
TCF_WPP_ChIP.seq_Input_Rep3_SRR1164489,TCF_WPP_ChIP-seq_Input_Rep3,White Prepupae (WPP),TCF_WPP_ChIP.seq_Input_Rep3_SRR1164489
TCF_WPP_ChIP.seq_ChIP_Rep1_SRR1164490,TCF_WPP_ChIP-seq_ChIP_Rep1,White Prepupae (WPP),TCF_WPP_ChIP.seq_Input_Rep1_SRR1164487
TCF_WPP_ChIP.seq_ChIP_Rep2_SRR1164491,TCF_WPP_ChIP-seq_ChIP_Rep2,White Prepupae (WPP),TCF_WPP_ChIP.seq_Input_Rep2_SRR1164488
TCF_WPP_ChIP.seq_ChIP_Rep3_SRR1164492,TCF_WPP_ChIP-seq_ChIP_Rep3,White Prepupae (WPP),TCF_WPP_ChIP.seq_Input_Rep3_SRR1164489
